Aprimore suas habilidades Quem quer chá Afaste-se Afaste-se!,APRIMORAR SUA HABILIDADE CHÁ QUER AFASTAR AFASTAR [EXCLAMAÇÃO]
O clima local é tropical e normalmente muito quente e úmido O carro é azul Ele veio O celeiro está em chamas.,CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO CARRO  AZUL ELE VIR CELEIRO FOGO [PONTO]
O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Eu assustei Tom Beba seu leite É provável que chova hoje.,CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE ASSUSTAR TOM BEBER SEU LEITE CERTEZA CHOVER HOJE [PONTO]
Quem quer chá Eu adoro ambas Isso demorou meses Eu adoro ambas.,CHÁ QUER ADORO AMBOS DEMORAR MES ADORO AMBOS [PONTO]
Alguém vai comer isso O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Alguém tem de pagar o preço O carro de Tom ficou sem gasolina.,ALGUÉM COMER CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE ALGUÉM PAGAR PREÇO CARRO TOM SEM GASOLINA [PONTO]
Afaste-se Ele veio Foi complicado Não bata a porta.,AFASTAR ELE VIR DIFÍCIL BATER PORTA NÃO [PONTO]
Aonde ela foi ontem Barbear leva tempo Tem certeza Leva tempo.,AONDE ELA IR ONTEM BARBEAR DEMORAR CERTEZA DEMORAR [PONTO]
Começo O carro é azul Algumas pessoas se matam Seja discreto.,COMEÇAR CARRO  AZUL ALGUMA PESSOA MATAR DISCRETO [PONTO]
A culpa não é minha Leva tempo Tenha cuidado com o Tom O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte.,CULPA MINHA NÃO DEMORAR CUIDADO TOM CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE [PONTO]
Bom, agora você sabe O clima local é tropical e normalmente muito quente e úmido O carro é azul A criança quase se afogou.,BOM AGORA VOCÊ SABER CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO CARRO  AZUL CRIANÇA QUASE AFOGAR  [PONTO]
Ele veio Ele sabe falar francês Como é que sabemos isso Foi complicado?,ELE VIR ELE SABER FALAR JAPONÊS COMO SABER DIFÍCIL [INTERROGAÇÃO]
Cadê o meu carro Amamos piqueniques Ele veio Comece.,CADÊ MEU CARRO AMAR PIQUENIQUE ELE VIR COMEÇAR [PONTO]
Bebe este suco Cadê o meu carro Eu amo a minha filha A minha cabeça dói.,BEBER ESTE SUCO CADÊ MEU CARRO AMAR MEU FILHO CABEÇA DOER [PONTO]
Isso demorou meses O clima local é tropical e normalmente muito quente e úmido Cadê o meu carro Ele sabe falar francês?,DEMORAR MES CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO CADÊ MEU CARRO ELE SABER FALAR JAPONÊS [PONTO]
A minha cabeça dói Cadê o meu carro A culpa não é minha Leva tempo.,CABEÇA DOER CADÊ MEU CARRO CULPA MINHA NÃO DEMORAR [PONTO]
Eu amo a minha filha Leva tempo O carro é azul Leva tempo.,AMAR MEU FILHO DEMORAR CARRO  AZUL DEMORAR [PONTO]
É provável que chova hoje O carro de Tom ficou sem gasolina Comece Cadê o meu carro?,CERTEZA CHOVER HOJE CARRO TOM SEM GASOLINA COMEÇAR CADÊ MEU CARRO [INTERROGAÇÃO]
Tenha cuidado com o Tom Seja discreto Uma delas é a recorrer a arquitectura e engenharia inteiramente idealizadas para o sistema LSF O celeiro está em chamas.,CUIDADO TOM DISCRETO DELAS  RECORRER ARQUITECTURA ENGENHARIA INTEIRAMENTE IDEALIZADA SISTEMA LSF CELEIRO FOGO [PONTO]
