Aprimore suas habilidades Quem quer chá Afaste-se Afaste-se O carro é azul.,APRIMORAR SUA HABILIDADE CHÁ QUER AFASTAR AFASTAR CARRO  AZUL [PONTO]
O clima local é tropical e normalmente muito quente e úmido Ele veio O celeiro está em chamas Eu assustei Tom Beba seu leite.,CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO ELE VIR CELEIRO FOGO ASSUSTAR TOM BEBER SEU LEITE [PONTO]
O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte É provável que chova hoje Eu adoro ambas Isso demorou meses Eu adoro ambas.,CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE CERTEZA CHOVER HOJE ADORO AMBOS DEMORAR MES ADORO AMBOS [PONTO]
Quem quer chá O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Alguém tem de pagar o preço O carro de Tom ficou sem gasolina Ele veio!,CHÁ QUER CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE ALGUÉM PAGAR PREÇO CARRO TOM SEM GASOLINA ELE VIR [INTERROGAÇÃO]
Alguém vai comer isso Foi complicado Não bata a porta Barbear leva tempo Tem certeza?,ALGUÉM COMER DIFÍCIL BATER PORTA NÃO BARBEAR DEMORAR CERTEZA [INTERROGAÇÃO]
Afaste-se Leva tempo O carro é azul Algumas pessoas se matam Seja discreto.,AFASTAR DEMORAR CARRO  AZUL ALGUMA PESSOA MATAR DISCRETO [PONTO]
Aonde ela foi ontem Leva tempo Tenha cuidado com o Tom O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte O clima local é tropical e normalmente muito quente e úmido.,AONDE ELA IR ONTEM DEMORAR CUIDADO TOM CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO [PONTO]
Começo O carro é azul A criança quase se afogou Ele sabe falar francês Como é que sabemos isso?,COMEÇAR CARRO  AZUL CRIANÇA QUASE AFOGAR  ELE SABER FALAR JAPONÊS COMO SABER [INTERROGAÇÃO]
A culpa não é minha Foi complicado Amamos piqueniques Ele veio Comece.,CULPA MINHA NÃO DIFÍCIL AMAR PIQUENIQUE ELE VIR COMEÇAR [PONTO]
Bom, agora você sabe Cadê o meu carro Eu amo a minha filha A minha cabeça dói O clima local é tropical e normalmente muito quente e úmido.,BOM AGORA VOCÊ SABER CADÊ MEU CARRO AMAR MEU FILHO CABEÇA DOER CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO [PONTO]
Ele veio Cadê o meu carro Ele sabe falar francês Cadê o meu carro A culpa não é minha.,ELE VIR CADÊ MEU CARRO ELE SABER FALAR JAPONÊS CADÊ MEU CARRO CULPA MINHA NÃO [PONTO]
Cadê o meu carro Leva tempo Leva tempo O carro é azul Leva tempo.,CADÊ MEU CARRO DEMORAR DEMORAR CARRO  AZUL DEMORAR [PONTO]
Bebe este suco O carro de Tom ficou sem gasolina Comece Cadê o meu carro Seja discreto.,BEBER ESTE SUCO CARRO TOM SEM GASOLINA COMEÇAR CADÊ MEU CARRO DISCRETO [PONTO]
Isso demorou meses Uma delas é a recorrer a arquitectura e engenharia inteiramente idealizadas para o sistema LSF O celeiro está em chamas Amamos piqueniques Como é que o seu filho se chama?,DEMORAR MES DELAS  RECORRER ARQUITECTURA ENGENHARIA INTEIRAMENTE IDEALIZADA SISTEMA LSF CELEIRO FOGO AMAR PIQUENIQUE COMO NOME SEU FILHO [INTERROGAÇÃO]
A minha cabeça dói O carro é azul Alguém tem de pagar o preço O ar estava úmido O carro é azul.,CABEÇA DOER CARRO  AZUL ALGUÉM PAGAR PREÇO AR ÚMIDO CARRO  AZUL [PONTO]
Eu amo a minha filha Seja discreto Ele veio Como é que o seu filho se chama Barbear leva tempo.,AMAR MEU FILHO DISCRETO ELE VIR COMO NOME SEU FILHO BARBEAR DEMORAR [PONTO]
É provável que chova hoje Alguém pisou no meu pé O celeiro está em chamas A criança quase se afogou Eles estão felizes.,CERTEZA CHOVER HOJE ALGUÉM PISAR MEU PÉ CELEIRO FOGO CRIANÇA QUASE AFOGAR  ELES FELIZ [PONTO]
