Aprimore suas habilidades Quem quer chá Afaste-se Afaste-se O carro é azul Ele veio!,APRIMORAR SUA HABILIDADE CHÁ QUER AFASTAR AFASTAR CARRO  AZUL ELE VIR [INTERROGAÇÃO]
O clima local é tropical e normalmente muito quente e úmido O celeiro está em chamas Eu assustei Tom Beba seu leite É provável que chova hoje Eu adoro ambas.,CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO CELEIRO FOGO ASSUSTAR TOM BEBER SEU LEITE CERTEZA CHOVER HOJE ADORO AMBOS [PONTO]
O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Isso demorou meses Eu adoro ambas O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte Alguém tem de pagar o preço O carro de Tom ficou sem gasolina.,CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE DEMORAR MES ADORO AMBOS CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE ALGUÉM PAGAR PREÇO CARRO TOM SEM GASOLINA [PONTO]
Quem quer chá Ele veio Foi complicado Não bata a porta Barbear leva tempo Tem certeza?,CHÁ QUER ELE VIR DIFÍCIL BATER PORTA NÃO BARBEAR DEMORAR CERTEZA [INTERROGAÇÃO]
Alguém vai comer isso Leva tempo O carro é azul Algumas pessoas se matam Seja discreto Leva tempo.,ALGUÉM COMER DEMORAR CARRO  AZUL ALGUMA PESSOA MATAR DISCRETO DEMORAR [PONTO]
Afaste-se Tenha cuidado com o Tom O clima é muito úmido, com chuvas abundantes e invernos frios; os rios mais importantes são o Aracto, o Tiâmis e o Aqueronte O clima local é tropical e normalmente muito quente e úmido O carro é azul A criança quase se afogou.,AFASTAR CUIDADO TOM CLIMA MUITO ÚMIDO CHUVA ABUNDANTE INVERNO FRIO RIO IMPORTANTE  ARACTO TIÂMIS AQUERONTE CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO CARRO  AZUL CRIANÇA QUASE AFOGAR  [PONTO]
Aonde ela foi ontem Ele sabe falar francês Como é que sabemos isso Foi complicado Amamos piqueniques Ele veio!,AONDE ELA IR ONTEM ELE SABER FALAR JAPONÊS COMO SABER DIFÍCIL AMAR PIQUENIQUE ELE VIR [INTERROGAÇÃO]
Começo Comece Cadê o meu carro Eu amo a minha filha A minha cabeça dói O clima local é tropical e normalmente muito quente e úmido.,COMEÇAR COMEÇAR CADÊ MEU CARRO AMAR MEU FILHO CABEÇA DOER CLIMA LOCAL TROPICAL NORMAL MUITO QUENTE ÚMIDO [PONTO]
A culpa não é minha Cadê o meu carro Ele sabe falar francês Cadê o meu carro A culpa não é minha Leva tempo.,CULPA MINHA NÃO CADÊ MEU CARRO ELE SABER FALAR JAPONÊS CADÊ MEU CARRO CULPA MINHA NÃO DEMORAR [PONTO]
Bom, agora você sabe Leva tempo O carro é azul Leva tempo O carro de Tom ficou sem gasolina Comece.,BOM AGORA VOCÊ SABER DEMORAR CARRO  AZUL DEMORAR CARRO TOM SEM GASOLINA COMEÇAR [PONTO]
Ele veio Cadê o meu carro Seja discreto Uma delas é a recorrer a arquitectura e engenharia inteiramente idealizadas para o sistema LSF O celeiro está em chamas Amamos piqueniques.,ELE VIR CADÊ MEU CARRO DISCRETO DELAS  RECORRER ARQUITECTURA ENGENHARIA INTEIRAMENTE IDEALIZADA SISTEMA LSF CELEIRO FOGO AMAR PIQUENIQUE [PONTO]
Cadê o meu carro Como é que o seu filho se chama O carro é azul Alguém tem de pagar o preço O ar estava úmido O carro é azul.,CADÊ MEU CARRO COMO NOME SEU FILHO CARRO  AZUL ALGUÉM PAGAR PREÇO AR ÚMIDO CARRO  AZUL [PONTO]
Bebe este suco Seja discreto Ele veio Como é que o seu filho se chama Barbear leva tempo Alguém pisou no meu pé.,BEBER ESTE SUCO DISCRETO ELE VIR COMO NOME SEU FILHO BARBEAR DEMORAR ALGUÉM PISAR MEU PÉ [PONTO]
Isso demorou meses O celeiro está em chamas A criança quase se afogou Eles estão felizes Amamos piqueniques Eu amo a minha filha.,DEMORAR MES CELEIRO FOGO CRIANÇA QUASE AFOGAR  ELES FELIZ AMAR PIQUENIQUE AMAR MEU FILHO [PONTO]
A minha cabeça dói Como se soletra isso Tenha cuidado com o Tom Como se soletra isso Leva tempo Leva tempo.,CABEÇA DOER COMO SOLETRAR CUIDADO TOM COMO SOLETRAR DEMORAR DEMORAR [PONTO]
Eu amo a minha filha O ar estava úmido Eu assustei Tom A criança quase se afogou A criança quase se afogou O ar estava úmido.,AMAR MEU FILHO AR ÚMIDO ASSUSTAR TOM CRIANÇA QUASE AFOGAR  CRIANÇA QUASE AFOGAR  AR ÚMIDO [PONTO]
É provável que chova hoje Os agricultores estão plantado arroz Tem certeza Comece Tem certeza A criança quase se afogou.,CERTEZA CHOVER HOJE AGRICULTOR PLANTAR ARROZ CERTEZA COMEÇAR CERTEZA CRIANÇA QUASE AFOGAR  [PONTO]
